,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
62,Gen3L-21,0.99962,7.80925,0.99402,7.49302,0.97687,359.45463,1.01483,48.59311
63,Gen3L-22,0.99962,7.89976,0.99405,7.5858,0.977,359.55149,1.01489,48.6943
64,Gen3L-26-1,0.99565,355.64869,0.99116,355.32477,0.97285,345.12853,1.01408,38.65891
65,Gen3L-27,0.99415,353.81379,0.98943,353.46983,0.96871,342.91419,1.01464,36.93683
66,Gen3L-29,0.99961,356.00317,0.99549,355.7159,0.97788,345.19783,1.02128,39.56631
67,Gen3L-3,0.99691,6.99597,0.99075,6.64445,0.97189,358.56805,1.01112,47.62227
68,Gen3L-30,0.99785,355.86609,0.99345,355.54964,0.97544,345.36345,1.01593,38.91378
69,Gen3L-31,0.99985,13.02897,0.99413,12.75522,0.9903,5.20837,0.99635,54.96667
70,Gen3L-32,0.99745,9.51904,0.9908,9.16918,0.98221,1.21485,1.00365,50.54253
71,Gen3L-33,0.99982,344.48599,0.98744,343.47038,0.94234,331.48607,1.02987,24.73973
72,Gen3L-34,1.00519,344.31499,0.98761,342.47602,0.94844,329.5957,1.03739,24.76476
73,Gen3L-35,1.00017,344.35753,0.99011,343.42212,0.95597,330.77489,1.02853,26.32198
74,Gen3L-36,1.00967,350.7457,1.00345,350.29329,0.99109,337.66873,1.03715,34.63686
75,Gen3L-37,0.9999,358.11844,0.9952,357.78882,0.98019,348.15388,1.01613,40.73521
76,Gen3L-38,1.01988,348.04173,1.01328,347.51881,1.00033,334.92334,1.05045,31.37916
77,Gen3L-38-1,0.98956,344.33005,0.98113,343.59212,0.94721,331.22997,1.01748,26.39754
78,Gen3L-39,0.99124,6.30313,0.98514,5.94782,0.96558,357.84644,1.00515,46.92166
79,Gen3L-40,0.9912,353.17789,0.98641,352.8262,0.96497,342.15772,1.01241,36.3423
80,Gen3L-41,0.99411,358.3133,0.98956,357.99194,0.97613,348.36351,1.00979,41.01603
81,Gen3L-42,0.99075,337.41959,0.98078,336.20976,0.93959,322.84562,1.04324,17.99592
82,Gen3L-49,0.99968,338.49818,0.99014,337.39792,0.95257,324.13014,1.05996,18.97528
83,Gen3L-57,0.99252,344.31218,0.98532,343.69104,0.95343,331.01788,1.0194,26.95368
84,Gen3L-58,0.99545,345.64471,0.98803,345.03159,0.95695,332.38579,1.02114,28.32148
85,Gen3L-59,0.99252,344.31218,0.98532,343.69104,0.95343,331.01788,1.0194,26.95368
86,Gen3L-6,0.99138,6.30404,0.98422,5.89354,0.96279,357.77429,1.00357,46.68178
87,Gen3L-60,0.99252,344.31218,0.98532,343.69104,0.95343,331.01788,1.0194,26.95368
88,Gen3L-61,0.99035,344.19758,0.98234,343.48941,0.95035,330.99007,1.01847,26.50412
89,Gen3L-62,0.99035,344.19758,0.98234,343.48941,0.95035,330.99007,1.01847,26.50412
90,Gen3L-63,0.99825,346.29287,0.99036,345.64759,0.95934,333.00355,1.02343,28.91872
91,Gen3L-64,0.99825,346.29287,0.99036,345.64759,0.95934,333.00355,1.02343,28.91872
